person,block,trial,id,found,class,x,y
2,2,4,22,22,1,0.4712915336749342,0.5737003892793062
2,1,4,23,23,1,0.015854071299187186,0.3548551672502139
2,2,4,23,23,1,0.22003784028169537,0.41620404934846855
2,1,4,24,24,1,0.24645906526271089,0.5971475388570632
2,2,4,24,24,0,0.1359896657260348,0.40569484505091025
2,1,4,25,25,1,0.04839730802430498,0.6878443481413585
2,2,4,25,25,0,0.01,0.301673004345859
2,1,4,26,26,1,0.23383950957335475,0.7167160269664761
2,2,4,26,26,0,0.1418870343439069,0.2260424570459604
2,1,4,27,27,0,0.254170638158379,0.779399489509461
2,2,4,27,27,1,0.06401531493219632,0.7910619747447434
2,1,4,28,28,1,0.3336818641441952,0.7763391500153708
2,2,4,28,28,1,0.1355563282455998,0.8142523597904181
2,1,4,29,29,0,0.37100077103320994,0.728223273363823
2,2,4,29,29,0,0.23861923229861998,0.6768873552502351
2,1,4,30,30,0,0.43532596646333926,0.6990570970277513
2,2,4,30,30,0,0.2654918491056245,0.8294463724821544
2,1,4,31,31,0,0.5386058026832403,0.722421525507602
2,2,4,31,31,0,0.1540502611535395,0.9150508689920361
2,1,4,32,32,1,0.6545125152555435,0.7320302075816243
2,2,4,32,32,1,0.3273959020115069,0.9728950560511199
2,1,4,33,33,1,0.6758770088684317,0.8123236321835937
2,2,4,33,33,0,0.4536706808682874,0.6660873050634621
2,1,4,34,34,0,0.7731782082305302,0.7817683918882499
2,2,4,34,34,0,0.433139621517903,0.8592322055335226
2,1,4,35,35,0,0.8813929421883149,0.8607348724404997
2,2,4,35,35,1,0.5465886003516368,0.7730140784922618
2,1,4,36,36,0,0.935701194293264,0.9155406848919907
2,2,4,36,36,1,0.6579581505836768,0.8080997060624556
2,1,4,37,37,0,0.8367950901017236,0.9758604345068118
2,2,4,37,37,0,0.6667849955810697,0.6680943797916237
2,1,4,38,38,1,0.6821788496893295,0.9604487725267824
2,2,4,38,38,1,0.7505029931129554,0.6917333117488331
2,1,4,39,39,1,0.37143575382832794,0.9455362970682891
2,2,4,39,39,1,0.9439092514507105,0.9182895723540718
2,1,4,40,40,0,0.040975271765934955,0.9099842694576945
